"from","to","weight"
"100345056","247165706",0.471404520791032
"100345056","249538861",0.447213595499958
"100345056","449689677",0
"100345056","471868887",0
"100345056","1039581360",0
"100345056","1510488662",0.707106781186547
"100345056","1513801268",0
"100345056","1517678892",0.707106781186547
"100345056","1518857420",0.161690416690889
"100345056","1532863891",0.282842712474619
"100345056","1533813962",0.38757283642598
"100345056","1584279696",0.333333333333333
"100345056","1594887416",0.801783725737273
"100345056","1612106972",0
"100345056","1617939218",0.0530288658706635
"100345056","1620474397",0
"100345056","1623180199",0.305644801619644
"100345056","1627096807",0.721687836487032
"100345056","1627699074",0
"100345056","1629828379",0.298529402908621
"100345056","1647045721",0.288526753636876
"100345056","1648012021",0
"100345056","1649144358",0.111111111111111
"100345056","1649487510",0.0160664598034026
"100345056","1649967228",0.319415030049953
"100345056","1650681522",0
"100345056","1651692980",0.280056016805602
"100345056","1651693646",0.288009216442392
"100345056","1652138929",0.408248290463863
"100345056","1652262638",0.6
"100345056","1652987412",0.764470787156438
"100345056","1653553555",0.201007563051842
"100345056","1655194147",0.0984955806870824
"100345056","1656024374",0
"100345056","1656685598",0.10842586573296
"100345056","1657694515",0.0195727575002595
"100345056","1657833811",0
"100345056","1658202894",0.156594458470717
"100345056","1658420976",0.0765704864789611
"100345056","1658440730",0
"100345056","4332740714",0.125367828161445
"100345056","4840551713",0.742939509071696
"100345056","4437233895",0
"100345056","4224729994",0.0582370588884804
"100345056","1659549972",0.0319234753787049
"100345056","1660375034",0
"100345056","1660771422",0.115219508267232
"100345056","1661246144",0.36094026932773
"100345056","1662453998",0.301511344577764
"100345056","1664988493",0.140028008402801
"100345056","1665377383",0.707106781186547
"100345056","1666030405",0.426401432711221
"100345056","1668307436",0.0741249316661101
"100345056","1669574551",0.190117275157343
"100345056","1670149272",0.218217890235992
"100345056","1670318690",0.707106781186547
"100345056","1671234620",0.458563118812381
"100345056","1672624255",0.408248290463863
"100345056","1674083671",0.086386842558136
"100345056","1676377446",0.5
"100345056","1676481360",0.302920045261277
"100345056","1677048979",0.948683298050514
"100345056","1679279490",0.377258702359589
"100345056","1680578719",0.917662935482247
"100345056","1681162956",0
"100345056","1682444790",0.485071250072666
"100345056","1684524144",0.0285494261543711
"100345056","1685173321",0.408248290463863
"100345056","1685718216",0.294783798943368
"100345056","1685771767",0.5
"100345056","1686370159",0.0735214622093808
"100345056","1687183549",0.382359556450936
"100345056","1688370956",0.295958174200194
"100345056","1690487623",0.120592357400046
"100345056","1691736218",0.75
"100345056","1692501152",0.301511344577764
"100345056","1694026190",0.265067857943201
"100345056","1695830984",0.208514414057075
"100345056","1699979024",0.5
